user_id,campaign,pdays,previous,poutcome,contact mode,contact day,contact month,contact duration,deposit
1,1,-1,0,unknown,unknown,5,may,1042,yes
2,1,-1,0,unknown,unknown,5,may,1467,yes
3,1,-1,0,unknown,unknown,5,may,1389,yes
4,1,-1,0,unknown,unknown,5,may,579,yes
5,2,-1,0,unknown,unknown,5,may,673,yes
6,2,-1,0,unknown,unknown,5,may,562,yes
7,1,-1,0,unknown,unknown,6,may,1201,yes
8,1,-1,0,unknown,unknown,6,may,1030,yes
9,1,-1,0,unknown,unknown,6,may,608,yes
10,3,-1,0,unknown,unknown,6,may,1297,yes
11,1,-1,0,unknown,unknown,7,may,786,yes
12,2,-1,0,unknown,unknown,7,may,1574,yes
13,4,-1,0,unknown,unknown,7,may,1689,yes
14,2,-1,0,unknown,unknown,7,may,1102,yes
15,2,-1,0,unknown,unknown,8,may,943,yes
16,1,-1,0,unknown,unknown,8,may,1084,yes
17,3,-1,0,unknown,unknown,8,may,541,yes
18,1,-1,0,unknown,unknown,8,may,1119,yes
19,2,-1,0,unknown,unknown,8,may,1120,yes
20,1,-1,0,unknown,unknown,8,may,513,yes
21,2,-1,0,unknown,unknown,8,may,442,yes
22,1,-1,0,unknown,unknown,8,may,756,yes
23,2,-1,0,unknown,unknown,8,may,2087,yes
24,2,-1,0,unknown,unknown,8,may,1120,yes
25,2,-1,0,unknown,unknown,8,may,985,yes
26,4,-1,0,unknown,unknown,9,may,617,yes
27,3,-1,0,unknown,unknown,9,may,483,yes
28,3,-1,0,unknown,unknown,9,may,929,yes
29,1,-1,0,unknown,unknown,9,may,538,yes
30,1,-1,0,unknown,unknown,9,may,710,yes
31,1,-1,0,unknown,unknown,9,may,653,yes
32,2,-1,0,unknown,unknown,9,may,1028,yes
33,1,-1,0,unknown,unknown,9,may,654,yes
34,2,-1,0,unknown,unknown,9,may,1692,yes
35,2,-1,0,unknown,unknown,9,may,665,yes
36,2,-1,0,unknown,unknown,12,may,757,yes
37,4,-1,0,unknown,unknown,13,may,504,yes
38,1,-1,0,unknown,unknown,13,may,1346,yes
39,4,-1,0,unknown,unknown,13,may,568,yes
40,2,-1,0,unknown,unknown,13,may,395,yes
